"","core","stockwc","maxd","stock","stock_se"
"140","LM3",0.929037869713412,116.959064327485,0.760450127292299,NA
"141","MA-01",0.386556471566985,50.6272382462396,0.769534366679903,0.0477513085524738
"142","MA-04",0.920647833158465,47.1753810930869,1.94463721088597,0.0122752157952135
"143","MA-05",0.225322337720706,40.2716667867815,0.672410983905428,0.0255970928767301
"144","MC-03",0.314666257946955,40.5345696966965,0.783120254138473,0.00436423096926834
"145","MC-04",0.461947688709811,40.5345696966965,1.14329894043226,0.0127587714374556
"146","MC-05",0.492659200073295,52.1158753243241,0.976283662132775,0.00755320559879933
"147","ME.S-A",0.681944266283069,66.2752772341813,0.994936816893613,0.0336298085779061
"148","ME.S-B",0.661082749840518,40.0940754843767,1.46118310946064,0.119412306689483
"149","ME.S-C",1.04813220233053,76.2930550880736,1.37069735328082,0.0113275679554525
"150","MM1a1",0.923750100971,33.1728971963996,2.68457299929026,0.0379425188411627
"151","MM1a3",0.533152169344,36.00000000144,1.53910424775136,0.0472905587562767
"152","MM1b2",0.60185549966,30.9320388360926,1.94026994281748,0.0805243989650346
"153","MM1b3",0.5544663551985,39.8837209306036,1.4103596283796,0.0127189300127035
"154","MM2a1",0.695873222907,31.8611111112085,2.108359779889,0.0490806329708875
"155","MM2a2",0.626177648977,30,1.99157629493549,0.0271722550559002
"156","MM3b3",0.49766890626,31.8813559336083,1.56133591533326,0.0799362313502598
"157","MS1_a2",1.002262958335,31.688888888734,3.08030648803339,0.125436088534299
"158","MS1A3",0.938416496045,38.0882352940728,2.42108156396678,0.0308483380564301
"159","MS2_a3",0.442932353959,31,1.28948013515028,0.126005731323082
"160","MS2_C3",0.29105068167,31,0.916229599198631,0.0515554506687595
"161","MS2A1",0.413447089523,35.8641975307845,0.901894403841335,0.0527822052717239
"162","MS2A2",0.802490627014958,37.5,2.03395007645645,0.342391211925343
"163","MS2C1",0.6709767347025,36.6867469877883,1.74092078168561,0.124120093391941
"164","MS2C2",0.689335092568,38.535211267432,1.68043750588318,0.135976175905813
"165","MS3B1",0.386260353356506,29.8876404495389,1.28053312207391,0.038608315298728
"166","N_M1",0.767750419895567,48.2939481247831,1.46060953041198,0.102210686937367
"167","N_M2",0.884158795052748,38.8713450294784,2.29420941918066,0.172252189508776
"168","N_M3",1.05354129334703,41.3881401623944,2.55947345410753,0.0593845344006133
"169","ODB.Z-A",3.38360058185029,124.48132780083,2.76110185047977,NA
"170","ODB.Z-B",1.33045911010716,107.111111111111,1.27244066854903,NA
"171","ODB.Z-C",1.18422625315486,101.830985915493,1.15667527031595,NA
"172","ODE.M-A",1.16955210793073,101.137800252844,1.16633615442364,NA
"173","ODE.M-B",0.79288726360368,107.910447761194,0.755754766451934,NA
"174","ODE.M-C",1.02379477690015,112.739726027397,0.890506932925893,NA
"175","ODH-A",0.771175034147007,116.770186335404,0.70632774703611,NA
"176","ODH-B",0.639428421669459,83.4987593052109,0.756210447920713,0.0237237302754722
"177","ODH.P1",0.408329246197153,33,1.1626956045195,0.0574698910169054
"178","ODL.R-A",0.192370573667012,73.0088495575221,0.248536104932313,0.0106163878003786
"179","ODL.R-B",0.144049816216211,51.8018018018018,0.237852596331914,0.0117915182359976
"180","ODL.R-C",0.0959191989818055,93.1315483119907,0.114104515338479,0.00448951462528336
"181","ODM.L-A",0.709847912066955,117.004680187207,0.603600931413989,NA
"182","ODM.L-B",0.983438366591336,107.86369593709,0.92956236725841,NA
"183","ODM.L-C",1.19600515752267,108.139534883721,1.11438593961074,NA
"184","ODN.D-MID",1.35991636348317,123.922413793103,0.998472050484628,NA
"185","ODN.DV-A",1.29100025895299,114.513981358189,1.19867993034337,NA
"186","Oka_01a",2.39851249629603,94.7534655202667,2.62040981871939,0.238812177681313
"187","Oka_01b",1.37147705039053,103.003465537158,1.32661571339051,NA
"188","Oka_01c",1.09492575851454,100,1.09492575851454,NA
"189","Oka_02a",1.2978730887918,104.49494111793,1.25654725003783,NA
"190","Oka_02b",0.908572671337116,103.092783505155,0.890425871083144,NA
"191","Oka_02c",1.22958904471345,99.6051687006461,1.25930595814931,0.0161200109174692
"192","PA B-R1",0.111412373650101,30,0.390010409534037,0.00827563901963681
"193","PA B-R2",0.115814892413719,30,0.369299786754905,0.0186432993916921
"194","PA B-R3",0.101990854501602,30,0.320364762433722,0.0113920530841784
"195","PA E-R1",0.100267142966974,30,0.349446606314628,0.00284826050549456
"196","PA E-R2",0.0746582053280445,30,0.269904713339693,0.0132906821827408
"197","PA E-R3",0.0999493784043755,30,0.304675284158711,0.0021856261993211
"198","PA I-R1",0.125569581735384,30,0.399848305653082,0.00424489146045347
"199","PA I-R2",0.107419678873807,30,0.341612880890551,0.0191037067741991
"200","PA I-R3",0.107580421937741,30,0.371683141383284,0.0239178069274487
"201","PA.I-A",0.36468600373475,146.99020065329,0.260095598092263,NA
"202","PA.I-B",0.235641072581783,101.172246277326,0.232479391644053,NA
"203","PA.I-C",0.146209391853968,90.6134350117753,0.161385448298087,0.00406056383322396
"204","PA.IV",2.29910374204069,530,0.221556281567319,NA
"205","PC-01",0.745258330651538,44.5152683098109,1.77076092985982,0.0163341739423383
