Site ID;Sample ID;Ecosystem;Specie;Tissue;TOC
Ria de Aveiro - 1_Zn;Ria de Aveiro - 1_Zn_32;Seagrass;Zostera noltii;Aboveground;38.1117043
Ria de Aveiro - 1_Zn;Ria de Aveiro - 1_Zn_33;Seagrass;Zostera noltii;Aboveground;38.1117043
Ria de Aveiro - 1_Zn;Ria de Aveiro - 1_Zn_34;Seagrass;Zostera noltii;Aboveground;38.1117043
Ria de Aveiro - 1_Zn;Ria de Aveiro - 1_Zn_35;Seagrass;Zostera noltii;Aboveground;38.1117043
Ria de Aveiro - 1_Zn;Ria de Aveiro - 1_Zn_36;Seagrass;Zostera noltii;Aboveground;38.16561767
Ria de Aveiro - 1_Zn;Ria de Aveiro - 1_Zn_37;Seagrass;Zostera noltii;Aboveground;38.16561767
Ria de Aveiro - 1_Zn;Ria de Aveiro - 1_Zn_38;Seagrass;Zostera noltii;Aboveground;38.16561767
Ria de Aveiro - 1_Zn;Ria de Aveiro - 1_Zn_39;Seagrass;Zostera noltii;Aboveground;38.16561767
Ria de Aveiro - 1_Zn;Ria de Aveiro - 1_Zn_40;Seagrass;Zostera noltii;Aboveground;38.16561767
Ria de Aveiro - 1_Zn;Ria de Aveiro - 1_Zn_41;Seagrass;Zostera noltii;Aboveground;39.03490157
Ria de Aveiro - 1_Zn;Ria de Aveiro - 1_Zn_42;Seagrass;Zostera noltii;Aboveground;39.03490157
Ria de Aveiro - 1_Zn;Ria de Aveiro - 1_Zn_43;Seagrass;Zostera noltii;Aboveground;39.03490157
Ria de Aveiro - 1_Zn;Ria de Aveiro - 1_Zn_44;Seagrass;Zostera noltii;Aboveground;39.03490157
Ria de Aveiro - 1_Zn;Ria de Aveiro - 1_Zn_45;Seagrass;Zostera noltii;Aboveground;39.03490157
Ria de Aveiro - 1_Zn;Ria de Aveiro - 1_Zn_46;Seagrass;Zostera noltii;Aboveground;36.99248787
